Company Name*,Company Type*,Website,"In Pipedrive (Yes, Blank)",Contact Person Name*,Contact Person Phone # *,Contact Person Email*,Main Address*,City*,State* (Abbreviation),Zip*,Phone# *,Location1 Address,Location1 City,Location1 State,Location1 Zip,Location1 Phone #,Location2 Address,Location2 City,Location2 State,Location2 Zip,Location2 Phone #,"Truck Types (Blank,All,CSV)",How Many Trucks,"Fuel Type (Blank, All, CSV)",DBE (Disadvantage Enterprise Business) (Blank/All/CSV),States Where You Deliver* (All/CSV),Specific Radius,Notes
External7,Channel Partner,,Yes,Contact1,9632587410,contact1@gmail.com,4934 W Bay Way Pl,Tampa,FL,33629,9876541230,625 W Capitol Ave ,Little Rock,AR,72201,7894563214,,,,,,All,10,All,All,All,10000,external1 test
External2,Broker,,,Contact2,9658741230,contact2@gmail.com,6000 N New Braunfels Ave,San Antonio,TX,78209,9632587220,,,,,,,,,,,"Bobtail,Transport,Tank Wagon",,,"Minority-Owned Business,Women-Owned Business",Florida,5000,
External3,Wholesaler,,,Contact3,9632147850,contact3@gmail.com,400 E University Way,Ellensburg,WA,98926,9865741230,,,,,,,,,,,Tank Wagon,20,"Etherin,Other",,"Alabama,Alaska,Arizona",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFX Guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Column Names indicated with an asterisk  symbol (*) are required fields.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowed Values for Company Type,Allowed State (use abbreviations only in State column),Allowed values for Disadvantage Enterprisse Business (DBE),Allowed Fuel Types - to use in Fuel Type column are listed below,Allowed values for Truck Types,,,,,,,,,,,,,,,,,,,,,,,,
Supplier,AL - Alabama,All,All,All,,,,,,,,,,,,,,,,,,,,,,,,
Broker,AK - Alaska,Minority-Owned Business,Unleaded,Bobtail,,,,,,,,,,,,,,,,,,,,,,,,
Wholesaler,AZ - Arizona,Women-Owned Business,Clear Diesel,Transport,,,,,,,,,,,,,,,,,,,,,,,,
Channel Partner,AR - Arkansas,Disabled Veteran-Owned Business,Red Dye Diesel,Tank Wagon,,,,,,,,,,,,,,,,,,,,,,,,
Website,CA - California,,Kerosene,,,,,,,,,,,,,,,,,,,,,,,,,
,CO - Colorado,,Propane,,,,,,,,,,,,,,,,,,,,,,,,,
,CT - Connecticut,,Jet,,,,,,,,,,,,,,,,,,,,,,,,,
,DE - Delaware,,Ethanol,,,,,,,,,,,,,,,,,,,,,,,,,
,FL - Florida,,Etherin,,,,,,,,,,,,,,,,,,,,,,,,,
,GA - Georgia,,Fuel Oil,,,,,,,,,,,,,,,,,,,,,,,,,
,HI - Hawaii,,Other,,,,,,,,,,,,,,,,,,,,,,,,,
,ID - Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL - Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN - Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IA - Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KS - Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KY - Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LA - Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ME - Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MD - Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA - Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI - Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MN - Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MS - Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MO - Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MT - Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NE - Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NV - Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH - New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJ - New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NM - New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY - New York,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC - North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ND - North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OH - Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OK - Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OR - Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA - Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RI - Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC - South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SD - South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TN - Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX - Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UT - Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VT - Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VA - Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA - Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WV - West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WI - Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WY - Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC - District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR - Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
