Company Name*,Contact Person*,Email*,Phone*,JobName*,JobID,Location - Address*,Location - City*,Location - State*,Location - Country*,Location - ZIP*,Standard Fuel Type*,NonStandard Fuel Type*,NonStandard Fuel Description,Min Quantity,Max Quantity*,PPG/PPL*,City Rack/Terminal,Delivery Date*,Delivery End Date,Delivery Start Time*,Delivery End Time*,Single/Multiple Delivery*,Driver First Name,Driver Last Name,Driver Email,Common Fee(s),Other Fee(s),PO#,Onsite Contact Email,Onsite Contact Name,Onsite Contact Phone,Delivery Schedules - Date,Start Time,End Time,Quantity,Asset Name,CatClass,Make,Model,Year,Is Buy And Sell Order,Company Brokering For,Is Third Party Hardware Used,Invoice Preference,Vendor Id,Customer Number,Ship To,Source,Product Code,Freight Fee,Brokered Order Additional Fee(s),Broker Markup,Supplier Markup,Order Taxes
Buyer Account 3,John Smith Jr,customer1234@email.me,1234567888,11111,12345,3991 MacArthur Blvd,Newport Beach,CA,USA,92660,Red Dye Diesel #2 - ULS,,,,5000,RackAvg + $0.25,Albany Rack NY,5/28/2018,6/25/2018,8:00AM,5:00PM,Single,DriverFirstName,DriverLastName,driveremail@email.me,WetHoseFee PerAsset $10 NotIncludeInPPG;EnvironmentalFee FlatFee $10 NotIncludeInPPG,Other-sample-fee1 FlatFee $10 NotIncludeInPPG;Other-sample-fee2 PerGallon $15 NotIncludeInPPG,WithOtherFees1,,,,,,,,,,,,,No,,,,,,,,,,,,,
Buyer Account 3,John Smith Jr,customer1235@email.me,1234567888,22222,JB234,2223 Fulton St,Berkeley,CA,USA,94704,Conv. 89 Unleaded,,,,2500,RackLow + %5,,5/30/2018,,8:00AM,5:00PM,Multiple,DriverFirstName,DriverLastName,driveremail@email.me,WetHoseFee PerAsset $10 IncludeInPPG Weekend;Under 100 Gallons FlatFee $20 IncludeInPPG;EnvironmentalFee FlatFee $10 NotIncludeInPPG,Other-sample-fee1 FlatFee $10 IncludeInPPG SpecialDate 12/17/2018;Other-sample-fee2 PerGallon $15 NotIncludeInPPG,,,,,5/1/2018,8:00AM,5:00PM,500,,,,,,No,,,,,,,,,,,,,
Buyer Account 4,John Smith Jr,customer1236@email.me,1234567888,33333,JOB12,2223 Fulton St,Berkeley,CA,USA,94704,Conv. 89 Unleaded,,,,7000,RackHigh + %5,,5/30/2018,,8:00AM,5:00PM,Multiple,,,,WetHoseFee PerAsset $10 IncludeInPPG SpecialDate 11/12/2018;DeliveryFee ByQuantity 1-2000-$50|2001-7000-$40 IncludeInPPG SpecialDate 12/17/2018,Other-fee1 FlatFee $10 includeinppg Weekend,,,,,5/2/2018,8:00AM,5:00PM,1500,,,,,,Yes,Mansfield,Yes,SendBrokerDataFileToBroker,3395,28004,1,2801,80,PerRoute $0.12,Other-Fee FlatFee $150;Other-Fee1 PerGallon $80,$3.10,$1,
Buyer Account 3,John Smith Jr,customer1237@email.me,1234567888,44444,,2223 Fulton St,Berkeley,CA,USA,94704,Conv. 89 Unleaded,,,,2500,RackLow + %5,,5/30/2018,,8:00AM,5:00PM,Multiple,,,,,,,,,,5/3/2018,8:00AM,5:00PM,2500,,,,,,Yes,Mansfield,,SendBrokerDataFileToBroker,3395,11961,42,2801,80,PerAsset $0.5,Other-Fee FlatFee $15,$4.60,$1.80,
Buyer Account 6,John Smith Jr,customer1237@email.me,1234567888,55555,,2223 Fulton St,Berkeley,CA,USA,94704,Red Dye Diesel #2 - ULS,,,,5700,RackLow + %5,Aberdeen Rack MS,5/30/2018,,8:00AM,5:00PM,Multiple,,,,,,,,,,5/3/2018,8:00AM,5:00PM,5700,1234,,,,,Yes,Mansfield,,SendBrokerDataFileToBroker,3395,40004,A4,2800,72,PerGallon $0.31,Other-Fee FlatFee $15,,,
Buyer Account 3,John Smith Jr,customer1237@email.me,1234567888,88888,,2223 Fulton St,Berkeley,CA,USA,94704,Red Dye Diesel #2 - ULS,,,,700,RackAvg + %5,,5/30/2018,,8:00AM,5:00PM,Multiple,,,,,,,,,,5/3/2018,8:00AM,5:00PM,5700,1234,,,,,Yes,Mansfield,No,,,,,,,,,,,
Buyer Account 4,Alex B,customer37@email.me,1234567888,66666,,130 Queen St W,Toronto,ON,CAN,M5H 4G1,Clear Diesel #2 - ULS,,,,5000,$2.50,,4/26/2018,7/20/2018,8:00AM,5:00PM,Single,,,,DeliveryFee PerLitre $0.5 NotIncludeInPPG;Under 100 Litres FlatFee $20 IncludeInPPG,,SFPO123,,,,,,,,John Deere 270 Series II Skid Steer Loader,Boom Lift,BMNW,CLASS-A,2018,No,,,,,,,,,,,,,
Buyer Account 4,Alex B,customer37@email.me,1234567888,66666,,130 Queen St W,Toronto,ON,CAN,M5H 4G1,Clear Diesel #2 - ULS,,,,5000,$2.50,,4/26/2018,,8:00AM,5:00PM,Single,,,,DeliveryFee PerLitre $0.5 NotIncludeInPPG;Under 100 Litres FlatFee $20 IncludeInPPG,,SFPO123,,,,,,,,JLG Boom Lift,,,,,No,,,,,,,,,,,,,
Buyer Account 4,Alex B,customer37@email.me,1234567888,66666,,130 Queen St W,Toronto,ON,CAN,M5H 4G1,,Other Product21,Other Product21 Desc,,5000,$2.50,,4/26/2018,,8:00AM,5:00PM,Single,,,,DeliveryFee PerLitre $0.5 NotIncludeInPPG;Under 100 Litres FlatFee $20 IncludeInPPG,,SFPO123,,,,,,,,JCB Wheel Loader,Wheel Loader,,,,No,,,,,,,,,,,,,dollarontotalamount $10 desc;percentagepergallon 12% desc2
Buyer Account 4,Alex B,customer37@email.me,1234567888,66666,,130 Queen St W,Toronto,ON,CAN,M5H 4G1,Clear Diesel #2 - ULS,,,,5000,$2.50,,4/26/2018,,8:00AM,5:00PM,Single,,,,DeliveryFee PerLitre $0.5 NotIncludeInPPG;Under 100 Litres FlatFee $20 IncludeInPPG,,SFPO123,,,,,,,,Genie Boom Lift,Boom Lift,,,,No,,,,,,,,,,,,,
Buyer Account 5,Dan K Jr,customer17@email.me,1234567888,33333,J2234,3991 MacArthur Blvd,Newport Beach,CA,USA,92660,Clear Diesel #2 - ULS,,,,250,FuelCost + $0.25,,4/25/2018,7/15/2018,8:00AM,1:00PM,Single,,,,,,PO4568,john1@email.com,John Smith2,2121212121,,,,,,,,,,No,,,,,,,,,,,,,
